"学年","範囲","問題","答え","誤答候補"
"連立方程式","代入法","x = 3y - 7, -2x - y = -14","x=5, y=4","x=-5, y=4;x=5, y=-4;x=-5, y=-4;x=4, y=5"
"連立方程式","代入法","x = -y + 2, -2x - y = -8","x=6, y=-4","x=-6, y=-4;x=6, y=4;x=-6, y=4;x=-4, y=6"
"連立方程式","代入法","x = 3y + 3, -x - 3y = 9","x=-3, y=-2","x=3, y=-2;x=-3, y=2;x=3, y=2;x=-2, y=-3"
"連立方程式","代入法","y = -x - 2, x - 2y = -5","x=-3, y=1","x=3, y=1;x=-3, y=-1;x=3, y=-1;x=1, y=-3"
"連立方程式","代入法","y = -3x - 6, -4x + y = -6","x=0, y=-6","x=0, y=6;x=-6, y=0;x=1, y=-7;x=-1, y=-5"
"連立方程式","代入法","y = -2x + 7, 3x - 3y = 6","x=3, y=1","x=-3, y=1;x=3, y=-1;x=-3, y=-1;x=1, y=3"
"連立方程式","代入法","x = 2y + 3, -3x - y = 12","x=-3, y=-3","x=3, y=-3;x=-3, y=3;x=3, y=3;x=-2, y=-4"
"連立方程式","代入法","x = -2y, 4x + y = -14","x=-4, y=2","x=4, y=2;x=-4, y=-2;x=4, y=-2;x=2, y=-4"
"連立方程式","代入法","x = -2y - 2, 4x + 2y = -20","x=-6, y=2","x=6, y=2;x=-6, y=-2;x=6, y=-2;x=2, y=-6"
"連立方程式","代入法","y = -2x + 4, -x + y = -5","x=3, y=-2","x=-3, y=-2;x=3, y=2;x=-3, y=2;x=-2, y=3"
"連立方程式","代入法","y = 2x - 6, 4x + 3y = 2","x=2, y=-2","x=-2, y=-2;x=2, y=2;x=-2, y=2;x=3, y=-3"
"連立方程式","代入法","y = -3x + 13, 2x + y = 9","x=4, y=1","x=-4, y=1;x=4, y=-1;x=-4, y=-1;x=1, y=4"
"連立方程式","代入法","x = 3y - 10, 3x - 2y = -16","x=-4, y=2","x=4, y=2;x=-4, y=-2;x=4, y=-2;x=2, y=-4"
"連立方程式","代入法","y = -2x + 3, 3x + 3y = 12","x=-1, y=5","x=1, y=5;x=-1, y=-5;x=1, y=-5;x=5, y=-1"
"連立方程式","代入法","y = -x - 1, x - 4y = 9","x=1, y=-2","x=-1, y=-2;x=1, y=2;x=-1, y=2;x=-2, y=1"
"連立方程式","代入法","x = 2y + 8, 4x - y = -3","x=-2, y=-5","x=2, y=-5;x=-2, y=5;x=2, y=5;x=-5, y=-2"
"連立方程式","代入法","y = -3x - 21, -x - y = 11","x=-5, y=-6","x=5, y=-6;x=-5, y=6;x=5, y=6;x=-6, y=-5"
"連立方程式","代入法","y = 3x - 9, -2x + 4y = -26","x=1, y=-6","x=-1, y=-6;x=1, y=6;x=-1, y=6;x=-6, y=1"
"連立方程式","代入法","y = -3x - 16, -x - y = 8","x=-4, y=-4","x=4, y=-4;x=-4, y=4;x=4, y=4;x=-3, y=-5"
"連立方程式","代入法","y = -x - 4, -3x + y = 8","x=-3, y=-1","x=3, y=-1;x=-3, y=1;x=3, y=1;x=-1, y=-3"
"連立方程式","加減法","3x - 4y = 12, x - y = 4","x=4, y=0","x=-4, y=0;x=0, y=4;x=5, y=-1;x=3, y=1"
"連立方程式","加減法","4x + y = 22, -3x + 3y = -9","x=5, y=2","x=-5, y=2;x=5, y=-2;x=-5, y=-2;x=2, y=5"
"連立方程式","加減法","-3x - 3y = -3, 3x + 4y = 8","x=-4, y=5","x=4, y=5;x=-4, y=-5;x=4, y=-5;x=5, y=-4"
"連立方程式","加減法","x + 4y = -15, -3x + 3y = -15","x=1, y=-4","x=-1, y=-4;x=1, y=4;x=-1, y=4;x=-4, y=1"
"連立方程式","加減法","4x + y = -18, -3x + 4y = 23","x=-5, y=2","x=5, y=2;x=-5, y=-2;x=5, y=-2;x=2, y=-5"
"連立方程式","加減法","-3x - 2y = -4, -2x - 3y = 4","x=4, y=-4","x=-4, y=-4;x=4, y=4;x=-4, y=4;x=5, y=-5"
"連立方程式","加減法","-x + 4y = 15, x - y = -3","x=1, y=4","x=-1, y=4;x=1, y=-4;x=-1, y=-4;x=4, y=1"
"連立方程式","加減法","-4x - 4y = 32, x - 3y = 4","x=-5, y=-3","x=5, y=-3;x=-5, y=3;x=5, y=3;x=-3, y=-5"
"連立方程式","加減法","2x - y = -10, -4x - 4y = 8","x=-4, y=2","x=4, y=2;x=-4, y=-2;x=4, y=-2;x=2, y=-4"
