"学年","範囲","問題","答え","誤答候補"
"中1","生命（生物）","手に持った花をルーペで見るときには、花とルーペのどちらを前後に動かしますか。","花",""
"中1","生命（生物）","顕微鏡にレンズをとりつけるとき，接眼レンズと対物レンズのどちらを先にとりつけるか。","接眼レンズ",""
"中1","生命（生物）","顕微鏡で観察するとき，レンズを高倍率にするほど視野の明るさはどうなるか。","暗くなる",""
"中1","生命（生物）","顕微鏡で観察するとき，レンズを高倍率にするほど視野の広さ(見える範囲)はどうなるか。","せまくなる",""
"中1","生命（生物）","顕微鏡でピントを合わせるとき，対物レンズとプレパラートを近づけながら合わせるか，遠ざけながら合わせるか。","遠ざけながら合わせる",""
"中1","生命（生物）","花をさかせ，種子をつくってなかまをふやす植物を何というか。","種子植物",""
"中1","生命（生物）","花のつくりで，めしべの先の部分を何というか。","柱頭",""
"中1","生命（生物）","花のつくりで，めしべのもとのふくらんだ部分を何というか。","子房",""
"中1","生命（生物）","花粉がめしべの柱頭につくことを何というか。","受粉",""
"中1","生命（生物）","花粉がめしべの柱頭についたあと，やがて種子になる部分を何というか。","胚珠",""
"中1","生命（生物）","花粉がめしべの柱頭につくと，子房は成長してやがて何になるか。","果実",""
"中1","生命（生物）","種子植物のうち，胚珠が子房に包まれている植物のなかまを何というか。","被子植物",""
"中1","生命（生物）","種子植物のうち，子房がなく胚珠がむき出しになっている植物を何というか。","裸子植物",""
"中1","生命（生物）","アブラナ，エンドウ，イチョウ，サクラのうち，胚珠がむき出しになっている植物はどれか。","イチョウ",""
"中1","生命（生物）","マツ，スギ，タンポポ，ソテツのうち，胚珠が子房につつまれている植物はどれか。","タンポポ",""
"中1","生命（生物）","植物の葉が光を受けてデンプンなどの養分をつくるはたらきを何というか。","光合成",""
"中1","生命（生物）","光合成が行われるところはどこか。","葉緑体",""
"中1","生命（生物）","デンプンの検出に用いる試薬で，デンプンと反応して青むらさき色を示す試薬は何か。","ヨウ素液",""
