"学年","範囲","問題","答え","誤答候補"
"中1","生命（生物）","花をさかせ，種子をつくってなかまをふやす植物を何というか。","種子植物","被子植物;裸子植物;シダ植物"
"中1","生命（生物）","花のつくりで，めしべの先の部分を何というか。","柱頭","子房;胚珠;やく"
"中1","生命（生物）","花のつくりで，めしべのもとのふくらんだ部分を何というか。","子房","柱頭;胚珠;やく"
"中1","生命（生物）","花粉がめしべの柱頭につくことを何というか。","受粉","受精;発芽;分裂"
"中1","生命（生物）","花粉がめしべの柱頭についたあと，やがて種子になる部分を何というか。","胚珠","子房;果実;柱頭"
"中1","粒子（化学）","炭素や水素を含むものを特に何というか。（加熱すると二酸化炭素や水が発生する）","有機物","無機物;金属;非金属"
"中2","粒子（化学）","1種類の物質が1種類以上の別の物質に分かれる化学変化を何というか。","分解","化合;酸化;還元"
"中2","粒子（化学）","物質をつくる最小の粒子を何というか。","原子","分子;イオン;電子"
"中2","粒子（化学）","いくつかの原子が結びついてできた粒子を何というか。","分子","原子;イオン;元素"
"中1","地学（地球）","地下にある高温でどろどろにとけた状態の岩石をなんというか。","マグマ","溶岩;マントル;火山灰"
"中1","地学（地球）","マグマが冷えて固まった岩石を何というか。","火成岩","堆積岩;変成岩;火山灰"
"中1","地学（地球）","マグマが地下の深いところで，ゆっくりと冷えて固まった岩石を何というか。","深成岩","火山岩;堆積岩;凝灰岩"
"中1","地学（地球）","マグマが地表や地表近くで，急に冷えて固まってできた岩石を何というか。","火山岩","深成岩;堆積岩;石灰岩"
"中1","エネルギー（物理）","自ら光を出している物体のことを何というか。","光源","光線;像;反射"
"中1","エネルギー（物理）","光が物体に当たってはね返ることを何というか。","反射","屈折;全反射;直進"
"中1","エネルギー（物理）","光が種類の異なる物質へ進むとき，物質の境界面で進む方向が変わる現象を何というか。","屈折","反射;全反射;直進"
"中1","エネルギー（物理）","凸レンズの軸に平行な光がレンズを通過したあと，屈折して集まる点のことを何というか。","焦点","焦点距離;光軸;像"
"中1","エネルギー（物理）","物体を凸レンズの焦点の外側に置いたとき，レンズをはさんで物体と反対側にできる，物体と逆さまの像を何というか。","実像","虚像;焦点;光軸"
"中3","生命（生物）","多くの動物や植物のふえ方で，雌と雄がかかわって子孫を残していくふえ方を何というか。","有性生殖","無性生殖;栄養生殖;分裂"
"中3","生命（生物）","親のからだの一部が分かれたり，分裂したりして子孫を残していくふえ方を何というか。","無性生殖","有性生殖;受精;受粉"
"中3","生命（生物）","核の中の染色体にあり，形質を伝えるもとになるものを何というか。","遺伝子","染色体;形質;細胞核"
"中3","粒子（化学）","＋の電気をもつ原子を構成する粒子は，陽子・中性子・電子のうちのどれか。","陽子","中性子;電子;原子核"
