"学年","範囲","問題","答え","誤答候補"
"中1","生命（生物）","手に持った花をルーペで見るときには、花とルーペのどちらを前後に動かしますか。","花","ルーペ"
"中1","生命（生物）","顕微鏡にレンズをとりつけるとき，接眼レンズと対物レンズのどちらを先にとりつけるか。","接眼レンズ","対物レンズ"
"中1","生命（生物）","顕微鏡で観察するとき，レンズを高倍率にするほど視野の明るさはどうなるか。","暗くなる","明るくなる;変わらない"
"中1","生命（生物）","顕微鏡で観察するとき，レンズを高倍率にするほど視野の広さ(見える範囲)はどうなるか。","せまくなる","広くなる;変わらない"
"中1","生命（生物）","顕微鏡でピントを合わせるとき，対物レンズとプレパラートを近づけながら合わせるか，遠ざけながら合わせるか。","遠ざけながら合わせる","近づけながら合わせる"
"中1","生命（生物）","花をさかせ，種子をつくってなかまをふやす植物を何というか。","種子植物","被子植物;裸子植物;シダ植物;コケ植物;藻類;胞子植物;双子葉類"
"中1","生命（生物）","花のつくりで，めしべの先の部分を何というか。","柱頭","子房;胚珠;やく;花柱;がく;花弁;おしべ"
"中1","生命（生物）","花のつくりで，めしべのもとのふくらんだ部分を何というか。","子房","柱頭;胚珠;やく;花柱;胚乳;果実;種子"
"中1","生命（生物）","花粉がめしべの柱頭につくことを何というか。","受粉","受精;結実;発芽;送粉;自家受粉;他家受粉;受胎"
"中1","生命（生物）","花粉がめしべの柱頭についたあと，やがて種子になる部分を何というか。","胚珠","子房;果実;柱頭;やく;種子;胚;胚乳"
"中1","生命（生物）","花粉がめしべの柱頭につくと，子房は成長してやがて何になるか。","果実","種子;胚珠;胚;子房;花托;さや;球果"
"中1","生命（生物）","種子植物のうち，胚珠が子房に包まれている植物のなかまを何というか。","被子植物","裸子植物;種子植物;シダ植物;コケ植物;単子葉類;双子葉類;胞子植物"
"中1","生命（生物）","種子植物のうち，子房がなく胚珠がむき出しになっている植物を何というか。","裸子植物","被子植物;種子植物;シダ植物;コケ植物;単子葉類;双子葉類;藻類"
"中1","生命（生物）","アブラナ，エンドウ，イチョウ，サクラのうち，胚珠がむき出しになっている植物はどれか。","イチョウ","アブラナ;エンドウ;サクラ"
