"学年","範囲","問題","答え","誤答候補"
"地理１ 世界と日本の姿","地球の姿","アジア州とヨーロッパ州がふくまれる、面積が世界最大の大陸を何というか。","ユーラシア大陸","アフリカ大陸;北アメリカ大陸;南アメリカ大陸;オーストラリア大陸"
"地理１ 世界と日本の姿","地球の姿","面積が世界最小の大陸を何というか。","オーストラリア大陸","南極大陸;ユーラシア大陸;アフリカ大陸;南アメリカ大陸"
"地理１ 世界と日本の姿","地球の姿","世界最大の海洋を何というか。","太平洋","大西洋;インド洋;北極海;地中海"
"地理１ 世界と日本の姿","地球の姿","オーストラリア大陸とその周辺の島々を合わせた州を何というか。","オセアニア州","アジア州;アフリカ州;ヨーロッパ州;南アメリカ州"
"地理１ 世界と日本の姿","地球の姿","国土が海に面していない国を何というか。","内陸国","島国;沿岸国;半島国;連邦国"
"地理１ 世界と日本の姿","地球の姿","地球を南北にそれぞれ90度ずつに分けたものを何というか。","緯度","経度;緯線;経線;赤道"
"地理１ 世界と日本の姿","地球の姿","緯度を示す線を何というか。","緯線","経線;緯度;経度;本初子午線"
"地理１ 世界と日本の姿","地球の姿","緯度が0度である線を特に何というか。","赤道","本初子午線;日付変更線;北回帰線;南回帰線"
"地理１ 世界と日本の姿","地球の姿","ロンドンを通る線を0度として、地球を東西にそれぞれ180度ずつに分けたものを何というか。","経度","緯度;経線;緯線;標準時子午線"
"地理１ 世界と日本の姿","地球の姿","経度を示す、北極点と南極点を結ぶ線を何というか。","経線","緯線;経度;緯度;赤道"
"地理１ 世界と日本の姿","地球の姿","経度が0度である線を特に何というか。","本初子午線","赤道;日付変更線;標準時子午線;東経135度"
"地理１ 世界と日本の姿","地球の姿","地球上のある地点から、地球の中心を通った反対側の地点を何というか。","対せき点","対極点;反対点;対称点;中心点"
"地理１ 世界と日本の姿","地球の姿","地球上の面積・距離・方位・角度・陸地の形などのすべてをほぼ正確に表現できる、地球を縮めた模型を何というか。","地球儀","世界地図;地形図;メルカトル図法;平面地図"
"地理１ 世界と日本の姿","地球の姿","緯線と経線が直角に交わる地図は、何図法でえがかれたものか。","メルカトル図法","モルワイデ図法;正距方位図法;グード図法;サンソン図法"
"地理１ 世界と日本の姿","地球の姿","面積が正しい地図は、何図法でえがかれたものか。","モルワイデ図法","メルカトル図法;正距方位図法;グード図法;ボンヌ図法"
"地理１ 世界と日本の姿","地球の姿","中心からの各地への距離と方位が正しい地図は、何図法でえがかれたものか。","正距方位図法","メルカトル図法;モルワイデ図法;グード図法;サンソン図法"
"地理１ 世界と日本の姿","日本の姿","兵庫県明石市を通る日本の標準時子午線の経度は東経何度か。","東経135度","東経140度;東経130度;東経150度;東経120度"
"地理１ 世界と日本の姿","日本の姿","世界の国々が、それぞれ基準になる経線に合わせて決めた時刻を何というか。","標準時","時差;グリニッジ標準時;協定世界時;地方時"
"地理１ 世界と日本の姿","日本の姿","地域による標準時の差を何というか。","時差","標準時;時間帯;経度差;日付変更線"
"地理１ 世界と日本の姿","日本の姿","180度の経線にほぼ沿って引かれている、地球上の1日の始まりと終わりを示す線を何というか。","日付変更線","本初子午線;赤道;標準時子午線;経度0度線"
"地理１ 世界と日本の姿","日本の姿","その国の主権がおよぶ範囲の陸地を何というか。","領土","領海;領空;排他的経済水域;公海"
"地理１ 世界と日本の姿","日本の姿","領土の沿岸から一定の周囲にあり、その国の主権がおよぶ範囲の海を何というか。","領海","領土;領空;排他的経済水域;公海"
"地理１ 世界と日本の姿","日本の姿","領土と領海の上空にあたる、その国の主権がおよぶ範囲の空を何というか。","領空","領土;領海;排他的経済水域;宇宙空間"
"地理１ 世界と日本の姿","日本の姿","領海の外側に設定され、沿岸国に水産資源や鉱産資源の領有権が認められる範囲の海を何というか。","排他的経済水域","領海;公海;領土;領空"
"地理１ 世界と日本の姿","日本の姿","どの国も自由に船の航行や漁業ができる、排他的経済水域の外側の海を何というか。","公海","領海;排他的経済水域;領空;領土"
"地理１ 世界と日本の姿","日本の姿","千島列島にふくまれる、日本の最北端に位置する島を何というか。","択捉島","南鳥島;沖ノ鳥島;与那国島;歯舞群島"
"地理１ 世界と日本の姿","日本の姿","小笠原諸島の父島から約1300km東方にある、日本の最東端に位置する島を何というか。","南鳥島","択捉島;沖ノ鳥島;与那国島;父島"
"地理１ 世界と日本の姿","日本の姿","水没のおそれがあるために護岸工事が行われた、日本の最南端に位置するサンゴ礁の島を何というか。","沖ノ鳥島","南鳥島;択捉島;与那国島;沖縄島"
"地理１ 世界と日本の姿","日本の姿","南西諸島のうちの先島諸島にふくまれる、日本の最西端に位置する島を何というか。","与那国島","沖ノ鳥島;南鳥島;択捉島;石垣島"
"地理１ 世界と日本の姿","日本の姿","ロシアによる占拠が続いている、国後島、択捉島、歯舞群島、色丹島の島々は、合わせて何と呼ばれるか。","北方領土","竹島;尖閣諸島;千島列島;樺太"
"地理１ 世界と日本の姿","日本の姿","韓国が不法に占拠する、日本海の島を何というか。","竹島","尖閣諸島;北方領土;隠岐諸島;対馬"
"地理１ 世界と日本の姿","日本の姿","中国などが領有権を主張している、東シナ海の島々を何というか。","尖閣諸島","竹島;北方領土;南西諸島;与那国島"
"地理１ 世界と日本の姿","日本の姿","都道府県庁舎が置かれている都市を何というか。","県庁所在地［都道府県庁所在地］","政令指定都市;城下町;中核市;都道府県名"
"地理１ 世界と日本の姿","日本の姿","日本の７地方区分のうち、青森県や秋田県が属する地方を何というか。","東北地方","北海道地方;関東地方;中部地方;近畿地方"
"地理２ 人々の生活と環境","世界の気候","１年を通して気温が高い赤道周辺の地域の気候帯を何というか。","熱帯","乾燥帯;温帯;亜寒帯(冷帯);寒帯"
"地理２ 人々の生活と環境","世界の気候","熱帯のうち、1年中高温多雨で密林が広がる地域の気候を何というか。","熱帯雨林気候","サバナ気候;砂漠気候;ステップ気候;温暖湿潤気候"
"地理２ 人々の生活と環境","世界の気候","１年を通して雨の少ない地域の気候帯を何というか。","乾燥帯","熱帯;温帯;寒帯;亜寒帯(冷帯)"
"地理２ 人々の生活と環境","世界の気候","乾燥帯のうち、雨の非常に少ない地域の気候を何というか。","砂漠気候","ステップ気候;サバナ気候;熱帯雨林気候;地中海性気候"
"地理２ 人々の生活と環境","世界の気候","はっきりとした四季の区別がみられる地域の気候帯を何というか。","温帯","熱帯;乾燥帯;亜寒帯(冷帯);寒帯"
"地理２ 人々の生活と環境","世界の気候","温帯のうち、主に大陸の東側に分布する、夏に高温多雨となり、冬に低温となる気候を何というか。","温暖湿潤気候","西岸海洋性気候;地中海性気候;熱帯雨林気候;砂漠気候"
"地理２ 人々の生活と環境","世界の気候","温帯のうち、主に大陸の西側に分布する、高緯度のわりに冬が暖かく、１年を通して雨が降る気候を何というか。","西岸海洋性気候","温暖湿潤気候;地中海性気候;亜寒帯気候;ステップ気候"
"地理２ 人々の生活と環境","世界の気候","西岸海洋性気候に影響をあたえる、中緯度地域で西から東に向かって1年中吹く風を何というか。","偏西風","季節風(モンスーン);貿易風;偏東風;北大西洋海流"
"地理２ 人々の生活と環境","世界の気候","温帯のうち、地中海沿岸などでみられる、夏に乾燥する気候を何というか。","地中海性気候","西岸海洋性気候;温暖湿潤気候;ステップ気候;サバナ気候"
"地理２ 人々の生活と環境","世界の気候","夏と冬の気温差が大きい地域の気候帯を何というか。","亜寒帯［冷帯］","寒帯;温帯;熱帯;乾燥帯"
"地理２ 人々の生活と環境","世界の気候","１年を通して気温が低い地域の気候帯を何というか。","寒帯","亜寒帯(冷帯);温帯;乾燥帯;熱帯"
"地理２ 人々の生活と環境","世界の気候","気温が低く農作物が育ちにくい、赤道付近の標高が高い地域の気候を何というか。","高山気候","寒帯;亜寒帯(冷帯);ツンドラ気候;氷雪気候"
"地理２ 人々の生活と環境","世界の宗教","紀元前後にイエスが説いた宗教は何か。","キリスト教","イスラーム(イスラム教);仏教;ヒンドゥー教;ユダヤ教"
"地理２ 人々の生活と環境","世界の宗教","７世紀にムハンマドが開いた宗教は何か。","イスラーム（イスラム教）","キリスト教;仏教;ヒンドゥー教;ユダヤ教"
"地理２ 人々の生活と環境","世界の宗教","紀元前６～５世紀ごろ、シャカ(釈迦)によって開かれた宗教を何というか。","仏教","キリスト教;イスラーム(イスラム教);ヒンドゥー教;儒教"
"地理２ 人々の生活と環境","世界の宗教","インドの多くの国民が信仰する宗教を何というか。","ヒンドゥー教","仏教;イスラーム(イスラム教);キリスト教;シク教"
